Group,REFID,Synonym,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,DIM,UOM_MDC,UOM_UCUM,CF_UCODE10,Enum_Values,External_sites,Vendor_VMD,Vendor_Description
GASMON_O2,MDC_CONC_AWAY_O2,,151908,"A.7.4.8","Concentration | PartialPressure | Oxygen, Gas | Airway","Concentration (or partial pressure) of oxygen in airway gas","%O<sub>2</sub>, O<sub>2</sub>, pO2","Measured partial pressure of oxygen in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_O2 {Philips} PHYSIO_SRC_ID_INCUB {Draeger} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {Editorial-RTMV}","Generic oxigen measurement label {Philips} Incubator oxygen {Draeger} "
GASMON_O2,MDC_CONC_AWAY_O2_DELTA,MDC_AWAY_O2_DELTA,151744,"A.7.4.8","Concentration | Difference (PartialPressureInspiration, PartialPressureExpiration) | O2, Gas | Airway","O2 pressure difference","PI-EO<sub>2</sub>","Difference between inspiratory and expiratory partial pressures of oxygen in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_O2,MDC_CONC_AWAY_O2_ET,,152440,"A.7.4.8","Concentration | PartialPressure, End Tidal | Oxygen, Gas | Airway","End tidal oxygen concentration (or partial pressure) in airway gas","%O<sub>2</sub> ET, %EtO<sub>2</sub>, EtO<sub>2<br/></sub>","Partial pressure of oxygen in airway gas measured at the end of expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_O2 {Philips} PHYSIO_SRC_ID_MGM {Draeger}","End-Tidal Oxigen Concentration {Philips} End-tidal O2 {Draeger}"
GASMON_O2,MDC_CONC_AWAY_O2_ET_SETTING,,16929656,"A.7.4.8",,,,,"1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","  {IEEE}",""
GASMON_O2,MDC_CONC_AWAY_O2_EXP,,153132,"A.7.4.8","Concentration | PartialPressure, Expiration | Oxygen, Gas | Airway","Expired oxygen concentration (or partial pressure) in airway gas","%O<sub>2</sub> exp,<br/>pO<sub>2</sub> exp","Partial pressure of oxygen in airway gas measured during expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","MDC_DEV_GEN_CONC_AWAY_VMD {GE} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {Editorial-RTMV}","Expired O2 {GE} "
GASMON_O2,MDC_CONC_AWAY_O2_INSP,,152196,"A.7.4.8","Concentration | PartialPressure, Inspiration | Oxygen, Gas | Airway","Inspiratory oxygen concentration (or partial pressure) in airway gas","%O<sub>2</sub> insp,<br/>pO<sub>2</sub> insp","Partial pressure of oxygen in airway gas measured during inspiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_O2 {Philips}   {Spacelabs} PHYSIO_SRC_ID_MGM {Draeger} MDC_DEV_GEN_CONC_AWAY_VMD {GE}   {VIASYS} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {Editorial-RTMV}","Inspired Oxygen Concentration {Philips} Inspired Oxygen Concentration {Spacelabs} Inspired Oxygen {Draeger} Inspired O2 {GE} Fractional (percent) O2 (Inspiration) {VIASYS} "
GASMON_AA_SEVOFL,MDC_CONC_AWAY_SEVOFL,,152036,"A.7.4.8","Concentration | PartialPressure | Sevoflurane, Gas | Airway","Concentration (or partial pressure) of sevoflurane in airway gas","%Sevoflurane","Measured partial pressure of sevoflurane in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips} MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}","Generic Sevoflurane label {Philips} "
GASMON_AA_SEVOFL,MDC_CONC_AWAY_SEVOFL_ET,,152096,"A.7.4.8","Concentration | PartialPressure, End Tidal | Sevoflurane, Gas | Airway","End tidal sevoflurane concentration (or partial pressure) in airway gas",,"Partial pressure of sevoflurane in airway gas measured at the end of expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips}","End-Tidal Sevoflurane Concentration {Philips}"
GASMON_AA_SEVOFL,MDC_CONC_AWAY_SEVOFL_ET_SETTING,,16929312,"A.7.4.8",,,,,"1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","  {IEEE}",""
GASMON_AA_SEVOFL,MDC_CONC_AWAY_SEVOFL_EXP,,152124,"A.7.4.8","Concentration | PartialPressure, Expiration | Sevoflurane, Gas | Airway","Expired sevoflurane concentration (or partial pressure) in airway gas",,"Partial pressure of sevoflurane in airway gas measured during expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","MDC_DEV_GEN_CONC_AWAY_VMD {GE} MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}","Expired Sevoflurane {GE} "
GASMON_AA_SEVOFL,MDC_CONC_AWAY_SEVOFL_INSP,,152180,"A.7.4.8","Concentration | PartialPressure, Inspiration | Sevoflurane, Gas | Airway","Inspiratory sevoflurane concentration (or partial pressure) in airway gas",,"Partial pressure of sevoflurane in airway gas measured during inspiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips} MDC_DEV_GEN_CONC_AWAY_VMD {GE} MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}","Inspired Sevoflurane Concentration {Philips} Inspired Sevoflurane {GE} "
GASMON_XE,MDC_CONC_AWAY_XE,,153172,"A.7.4.8","Concentration | PartialPressure | Xe, Gas | Airway","Concentration (or partial pressure) of xenon in airway gas","%Xe, Xe","Measured partial pressure of xenon in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_XE,MDC_CONC_AWAY_XE_ET,,153176,"A.7.4.8","Concentration | PartialPressure, Expiration | Xe, Gas | Airway","End tidal xenon concentration (or partial pressure) in airway gas",,"Partial pressure of xenon in airway gas measured at the end of expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_XE,MDC_CONC_AWAY_XE_EXP,,153180,"A.7.4.8","Concentration | PartialPressure, Expiration | Xe, Gas | Airway","Expired xenon concentration (or partial pressure) in airway gas",,"Partial pressure of xenon in airway gas measured during expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_XE,MDC_CONC_AWAY_XE_INSP,,153184,"A.7.4.8","Concentration | PartialPressure, Inspiration | Xe, Gas | Airway","Inspiratory xenon concentration (or partial pressure) in airway gas",,"Partial pressure of xenon in airway gas measured during inspiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
BLD_CHM_ART,MDC_CONC_CA_ART,,159792,,"Concentration | Total, Ca | ArterialBlood | FluidChemistry","Arterial blood calcium ion concentration","","","ML-3 NL-3 NL-3","MDC_DIM_MILLI_G_PER_DL MDC_DIM_MILLI_MOLE_PER_L MDC_DIM_MILLI_EQUIV_PER_L","mg/dL mmol/L meq/L",264274 266866 266994,,,"MDC_DEV_ANALY_BLD_CHEM_MULTI_PARAM_VMD {GE}","Ionized Calcium {GE}"
CHM_GEN,MDC_CONC_CA_GEN,,160024,,"Concentration | Total, Ca | General | FluidChemistry","General calcium ion concentration","","","ML-3 NL-3 NL-3","MDC_DIM_MILLI_G_PER_DL MDC_DIM_MILLI_MOLE_PER_L MDC_DIM_MILLI_EQUIV_PER_L","mg/dL mmol/L meq/L",264274 266866 266994,,," {Philips}","Calcium {Philips}"
BLD_CHM_ART,MDC_CONC_CA_PH_NORMALIZED_ART,,160256,"A.7.5.1","Concentration | Total, Ca, Logarithmic, Normalized to pH 7.4 | ArterialBlood | FluidChemistry","Ionized Calcium, Normalized to pH 7.4","iCa(N)","Ionized calcium in blood fluid, normalized to pH 7.4","NL-3","MDC_DIM_MILLI_MOLE_PER_L","mmol/L",266866,,,"MDC_DEV_ANALY_BLD_CHEM_MULTI_PARAM_VMD {GE}","Ionized Calcium, Normalized to pH 7.4 {GE}"
CHM_GEN,MDC_CONC_CHLOR_GEN,,160104,,"Concentration | Total, Chloride | General | FluidChemistry","General chloride ion concentration","","","NL-3 NL-3","MDC_DIM_MILLI_MOLE_PER_L MDC_DIM_MILLI_EQUIV_PER_L","mmol/L meq/L",266866 266994,,,"MDC_DEV_ANALY_BLD_CHEM_MULTI_PARAM_VMD {GE}","Chloride {GE}"
INFUS,MDC_CONC_DRUG,,157760,,"Concentration |  | Drug, Fluid | Pump","Drug concentration","","Concentration of drug in fluid delivered to patient (comment: optional site attribute according to Table A.9.8.7 (miscellaneous body sites))","ML-3 ML-3 ML-3 ML-3 NL-3 NL-3 [iU]L-3 [iU]L-3 [iU]L-3 [iU]L-3 arb.u  [arb.u]L-3 [arb.u]L-3 [arb.u]L-3","MDC_DIM_X_G_PER_ML MDC_DIM_MILLI_G_PER_ML MDC_DIM_MICRO_G_PER_ML MDC_DIM_NANO_G_PER_ML MDC_DIM_MILLI_MOLE_PER_ML MDC_DIM_MILLI_EQUIV_PER_ML MDC_DIM_X_INTL_UNIT_PER_ML MDC_DIM_MILLI_INTL_UNIT_PER_ML MDC_DIM_MEGA_INTL_UNIT_PER_ML MDC_DIM_KILO_INTL_UNIT_PER_ML MDC_DIM_X_ARB_UNIT_PER_ML MDC_DIM_MEGA_ARB_UNIT_PER_ML MDC_DIM_KILO_ARB_UNIT_PER_ML MDC_DIM_MILLI_ARB_UNIT_PER_ML","g/mL mg/mL ug/mL ng/mL mmol/mL meq/mL [iU]/mL m[iU]/mL M[iU]/mL k[iU]/mL [arb'U]/mL M[arb'U]/mL k[arb'U]/mL m[arb'U]/mL",264288 264306 264307 264308 266898 267026 267744 267762 267748 267747 271328 271332 271331 271346,,,"MDC_DEV_PUMP_INFUS_VMD {BBraun_PL}   {Editorial-pss}","Concentration {BBraun_PL} Concentration {Editorial-pss}"
GASDLV_AR,MDC_CONC_GASDLV_AR,,153008,"A.7.4.8","Concentration | Partial Pressure | Ar, Gas | Gas Delivery System","Concentration argon (gas delivery system)",,"Concentration of argon in airway gas in the system conducting gas to and from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASDLV_AR,MDC_CONC_GASDLV_AR_EXP,,153012,"A.7.4.8","Concentration | Partial Pressure, Expiration | Ar, Gas | Gas Delivery System","Concentration airway argon expiratory (gas delivery system)",,"Concentration of argon in airway gas measured during expiration in the system conducting gas from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_CIRC_SITE_ABSe",,""
GASDLV_AR,MDC_CONC_GASDLV_AR_INSP,,153016,"A.7.4.8","Concentration | Partial Pressure, Inspiration | Ar, Gas | Gas Delivery System","Concentration airway argon inspiratory (gas delivery system)",,"Concentration of argon in airway gas measured during inspiration in the system conducting gas to the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi",,""
GASDLV_CO2,MDC_CONC_GASDLV_CO2,,153020,"A.7.4.8","Concentration | Partial Pressure | CO2, Gas | Gas Delivery System","Concentration carbon dioxide (gas delivery system)","%CO<sub>2</sub>, CO2, pCO<sub>2</sub>","Concentration of carbon dioxide in airway gas in the system conducting gas to and from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_CO2,MDC_CONC_GASDLV_CO2_EXP,,153024,"A.7.4.8","Concentration | Partial Pressure, Expiration | CO2, Gas | Gas Delivery System","Concentration airway carbon dioxide expiratory (gas delivery system)",,"Concentration of carbon dioxide in airway gas measured during expiration in the system conducting gas from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,,"MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_CO2,MDC_CONC_GASDLV_CO2_INSP,,153028,"A.7.4.8","Concentration | Partial Pressure, Inspiration | CO2, Gas | Gas Delivery System","Concentration airway carbon dioxide inspiratory (gas delivery system)","FiCO<sub>2</sub>","Concentration of carbon dioxide in airway gas measured during inspiration in the system conducting gas to the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi","MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_AA_DESFL,MDC_CONC_GASDLV_DESFL,,152052,"A.7.4.8","Concentration | Partial Pressure | Desflurane, Gas | Gas Delivery System or Circuit","Concentration desflurane (gas delivery system or circuit)",,"Concentration of desflurane in airway gas in the system or circuit conducting gas to and from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_AA_DESFL,MDC_CONC_GASDLV_DESFL_EXP,,152140,"A.7.4.8","Concentration | Partial Pressure, Expiration | Desflurane, Gas | Gas Delivery System or Circuit","Concentration airway desflurane expiratory (gas delivery system or circuit)",,"Concentration of desflurane in airway gas measured during expiration in the system or circuit conducting gas from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_CIRC_SITE_ABSe","MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_AA_DESFL,MDC_CONC_GASDLV_DESFL_INSP,,152200,"A.7.4.8","Concentration | Partial Pressure, Inspiration | Desflurane, Gas | Gas Delivery System or Circuit","Concentration airway desflurane inspiratory (gas delivery system or circuit)",,"Concentration of desflurane in airway gas measured during inspiration in the system or circuit conducting gas to the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi","MDC_DEV_SYS_PT_VENT_VMD {Editorial-RTMV}",""
GASDLV_AA_DESFL,MDC_CONC_GASDLV_DESFL_INSP_SETTING,,16929416,"A.7.4.8",,,,,"1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi","  {IEEE}",""
GASDLV_AA_ENFL,MDC_CONC_GASDLV_ENFL,,152056,"A.7.4.8","Concentration | Partial Pressure | Enflurane, Gas | Gas Delivery System or Circuit","Concentration enflurane (gas delivery system or circuit)",,"Concentration of enflurane in airway gas in the system or circuit conducting gas to and from the patient","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_FGF MDC_GAS_MSMT_SITE_IL MDC_GAS_CIRC_SITE_ABSi MDC_GAS_MSMT_SITE_EXH MDC_GAS_MSMT_SITE_EL MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
