LOINC_NUM,LOINC_LONG_COMMON_NAME,IEEE_CF_CODE10,IEEE_REFID,IEEE_DESCRIPTION,IEEE_DIM,IEEE_UOM_UCUM
60854-7,Enflurane [VFr/PPres] Gas delivery system,152056,MDC_CONC_GASDLV_ENFL,Concentration of enflurane in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60855-4,Enflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152204,MDC_CONC_GASDLV_ENFL_INSP,Concentration of enflurane in airway gas measured during inspiration in the system or circuit conducting gas to the patient.,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60856-2,Halothane [VFr/PPres] Gas delivery system,152060,MDC_CONC_GASDLV_HALOTH,Concentration of halothane in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60857-0,Halothane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152208,MDC_CONC_GASDLV_HALOTH_INSP,Concentration of halothane in airway gas measured during inspiration in the system or circuit conducting gas to the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60858-8,Isoflurane [VFr/PPres] Gas delivery system,152068,MDC_CONC_GASDLV_ISOFL,Concentration of isoflurane in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60859-6,Isoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152216,MDC_CONC_GASDLV_ISOFL_INSP,Concentration of isoflurane in airway gas measured during inspiration in the system or circuit conducting gas to the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60860-4,Nitrous oxide [VFr/PPres] Gas delivery system,152076,MDC_CONC_GASDLV_N2O,Concentration of nitrous oxide in airway gas in the system conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60861-2,Nitrous oxide [VFr/PPres] Gas delivery system.expiratory limb --during expiration,152164,MDC_CONC_GASDLV_N2O_EXP,Concentration of nitrous oxide in airway gas measured during expiration in the system conducting gas from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60862-0,Nitrous oxide [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152224,MDC_CONC_GASDLV_N2O_INSP,Concentration of nitrous oxide in airway gas measured during inspiration in the system conducting gas to the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60863-8,Sevoflurane [VFr/PPres] Airway adaptor,152036,MDC_CONC_AWAY_SEVOFL,Measured partial pressure of sevoflurane in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60864-6,Sevoflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152212,MDC_CONC_GASDLV_SEVOFL_INSP,Concentration of sevoflurane in airway gas measured during inspiration in the system or circuit conducting gas to the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60866-1,Oxygen [VFr/PPres] Airway adaptor,151908,MDC_CONC_AWAY_O2,Measured partial pressure of oxygen in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60867-9,Oxygen [VFr/PPres] Airway adaptor --during expiration,153132,MDC_CONC_AWAY_O2_EXP,Partial pressure of oxygen in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60869-5,Physiological dead space [Volume] Respiratory system --on ventilator,151984,MDC_VENT_VOL_AWAY_DEADSP,Volume of gas in airway per breath during mechanical ventilation not involved in respiratory exchange,L3,mL
60870-3,Physiological dead space/Tidal volume Respiratory system --on ventilator,151988,MDC_VENT_VOL_AWAY_DEADSP_REL,Ratio of dead space to tidal volume during mechanical ventilation.,1,{unitless} 1
60873-7,Anesthetic agent.XXX Airway adaptor --at end expiration,152460,MDC_CONC_AWAY_AGENT_ET,Concentration of agent in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60874-5,Anesthetic agent.XXX Airway adaptor --during inspiration,152464,MDC_CONC_AWAY_AGENT_INSP,Concentration of agent in airway gas measured in inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60876-0,Desflurane [VFr/PPres] Airway adaptor,152024,MDC_CONC_AWAY_DESFL,Measured partial pressure of desflurane in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60877-8,Desflurane [VFr/PPres] Airway adaptor --at end expiration,152084,MDC_CONC_AWAY_DESFL_ET,Partial pressure of desflurane in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60884-4,Enflurane [VFr/PPres] Airway adaptor --at end expiration,152088,MDC_CONC_AWAY_ENFL_ET,Partial pressure of enflurane in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60885-1,Enflurane [VFr/PPres] Airway adaptor --during inspiration,152172,MDC_CONC_AWAY_ENFL_INSP,Partial pressure of enflurane in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60889-3,Halothane [VFr/PPres] Airway adaptor --at end expiration,152092,MDC_CONC_AWAY_HALOTH_ET,Partial pressure of halothane in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60895-0,Isoflurane [VFr/PPres] Airway adaptor --at end expiration,152100,MDC_CONC_AWAY_ISOFL_ET,Partial pressure of isoflurane in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60901-6,Nitrous oxide [VFr/PPres] Airway adaptor --at end expiration,152108,MDC_CONC_AWAY_N2O_ET,Partial pressure of nitrous oxide in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60907-3,Sevoflurane [VFr/PPres] Airway adaptor --during inspiration,152180,MDC_CONC_AWAY_SEVOFL_INSP,Partial pressure of sevoflurane in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60908-1,Sevoflurane [VFr/PPres] Airway adaptor --at end expiration,152096,MDC_CONC_AWAY_SEVOFL_ET,Partial pressure of sevoflurane in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60914-9,Argon [VFr/PPres] Airway adaptor,152992,MDC_CONC_AWAY_AR,Measured partial pressure of argon in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60915-6,Argon [VFr/PPres] Airway adaptor --during expiration,153000,MDC_CONC_AWAY_AR_EXP,Partial pressure of argon in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60916-4,Argon [VFr/PPres] Airway adaptor --during inspiration,153004,MDC_CONC_AWAY_AR_INSP,Partial pressure of argon in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60918-0,Argon [VFr/PPres] Airway adaptor --at end expiration,152996,MDC_CONC_AWAY_AR_ET,Partial pressure of argon in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60919-8,Nitrogen [VFr/PPres] Airway adaptor,152444,MDC_CONC_AWAY_N2,Measured partial pressure of nitrogen in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60920-6,Nitrogen [VFr/PPres] Airway adaptor --at end expiration,152448,MDC_CONC_AWAY_N2_ET,Partial pressure of nitrogen in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60921-4,Nitrogen [VFr/PPres] Airway adaptor --during inspiration,152452,MDC_CONC_AWAY_N2_INSP,Partial pressure of nitrogen in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60924-8,Carbon dioxide [VFr/PPres] in Airway adaptor --during inspiration,151716,MDC_CONC_AWAY_CO2_INSP,Partial pressure of carbon dioxide in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60926-3,Carbon dioxide [VFr/PPres] in Airway adaptor,151700,MDC_CONC_AWAY_CO2,Measured partial pressure of carbon dioxide in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60932-1,Helium [VFr/PPres] Airway adaptor,153040,MDC_CONC_AWAY_HE,Measured partial pressure of helium in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60934-7,Helium [VFr/PPres] Airway adaptor --during inspiration,153052,MDC_CONC_AWAY_HE_INSP,Partial pressure of helium in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60935-4,Nitrogen [VFr/PPres] Airway adaptor --during expiration,153076,MDC_CONC_AWAY_N2_EXP,Partial pressure of nitrogen in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60939-6,Nitrous oxide [VFr/PPres] Airway adaptor --during expiration,152136,MDC_CONC_AWAY_N2O_EXP,Partial pressure of nitrous oxide in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60943-8,Oxygen [VFr/PPres] Airway adaptor --at end expiration,152440,MDC_CONC_AWAY_O2_ET,Partial pressure of oxygen in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60948-7,Peak inspiratory flow Respiratory system airway,151773,MDC_FLOW_AWAY_INSP_MAX,Maximum inspiratory gas flow,L3T-1 ,mL/min L/min
60949-5,Mean airway pressure,151795,MDC_PRESS_AWAY_MEAN,Average pressure of gas in airway,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60951-1,Pressure max Respiratory system airway --during inspiration,151817,MDC_PRESS_AWAY_INSP_PEAK,,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60951-1,Pressure max Respiratory system airway --during inspiration,151817,MDC_PRESS_AWAY_INSP_MAX,Maximum pressure of gas in airway during inspiration,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60952-9,Mean airway pressure --during inspiration,151819,MDC_PRESS_AWAY_INSP_MEAN,Mean pressure of gas in airway during inspiration,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60955-2,Airway temperature,150356,MDC_TEMP_AWAY,,Q Q,Cel [degF]
60956-0,Intracranial pressure (ICP),153608,MDC_PRESS_INTRA_CRAN,Pressure inside skull,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60957-8,Intracranial pressure (ICP) Diastolic,153610,MDC_PRESS_INTRA_CRAN_DIA,"Minimum pressure inside skull, caused by emptying of vessels during diastolic phase of blood pressure",LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60958-6,Intracranial pressure (ICP) Mean,153611,MDC_PRESS_INTRA_CRAN_MEAN,Mean pressure inside skull,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60959-4,Intracranial pressure (ICP) Systolic,153609,MDC_PRESS_INTRA_CRAN_SYS,"Maximum pressure inside skull, caused by filling of vessels during systolic phase of blood pressure",LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60960-2,ST amplitude.lead AI,131973,MDC_ECG_AMPL_ST_AI,,ML2I-1T-3 ML2I-1T-3,mV uV
60961-0,ST amplitude.lead AS,131972,MDC_ECG_AMPL_ST_AS,,ML2I-1T-3 ML2I-1T-3,mV uV
60962-8,ST amplitude.derived lead V1,131873,MDC_ECG_AMPL_ST_dV1,,ML2I-1T-3 ML2I-1T-3,mV uV
60963-6,ST amplitude.derived lead V2,131874,MDC_ECG_AMPL_ST_dV2,,ML2I-1T-3 ML2I-1T-3,mV uV
60964-4,ST amplitude.derived lead V3,131875,MDC_ECG_AMPL_ST_dV3,,ML2I-1T-3 ML2I-1T-3,mV uV
60965-1,ST amplitude.derived lead V4,131876,MDC_ECG_AMPL_ST_dV4,,ML2I-1T-3 ML2I-1T-3,mV uV
60966-9,ST amplitude.derived lead V5,131877,MDC_ECG_AMPL_ST_dV5,,ML2I-1T-3 ML2I-1T-3,mV uV
60967-7,ST amplitude.derived lead V6,131878,MDC_ECG_AMPL_ST_dV6,,ML2I-1T-3 ML2I-1T-3,mV uV
60968-5,ST amplitude.lead ES,131971,MDC_ECG_AMPL_ST_ES,,ML2I-1T-3 ML2I-1T-3,mV uV
60969-3,ST amplitude.lead MCL,131931,MDC_ECG_AMPL_ST_MCL,,ML2I-1T-3 ML2I-1T-3,mV uV
60970-1,ST amplitude.lead MCL1,131932,MDC_ECG_AMPL_ST_MCL1,,ML2I-1T-3 ML2I-1T-3,mV uV
60971-9,ST amplitude.lead MCL6,131937,MDC_ECG_AMPL_ST_MCL6,,ML2I-1T-3 ML2I-1T-3,mV uV
60972-7,ST amplitude.precordial lead,131927,MDC_ECG_AMPL_ST_V,,ML2I-1T-3 ML2I-1T-3,mV uV
60973-5,Left ventricular Pre ejection Time,150628,MDC_TIME_PD_VENT_L_AORT_PRE_EJCT,The time interval from the beginning of electrical stimulation of the ventricles to the opening of the aortic valve (electrical systole).,T,ms
60974-3,Left ventricular Ejection Time,150520,MDC_TIME_PD_VENT_L_AORT_VALV,Period between opening and closing aortic valve,T,ms
60975-0,Vascular resistance,150304,MDC_RES_VASC,Resistance to blood flow within circulation,L-4MT-1 L-4MT-1 L-4MT-1,dyn.s/cm5 [PRU] mm[Hg].s/mL [wood'U] mm[Hg].min/L
60976-8,Right ventricular Work [Energy],150420,MDC_WK_CARD_RIGHT,Ventricular stroke - work of right side of the heart in one cardiac cycle,L2MT-2,gf.m
60977-6,Left ventricular Work [Energy],150416,MDC_WK_CARD_LEFT,Ventricular stroke - work of left side of the heart in one cardiac cycle,L2MT-2,gf.m
60978-4,Heart rate Intra arterial line by Invasive,149514,MDC_PULS_RATE,Rate of blood pulse in an artery,T-1 T-1 T-1,/min 1/min {count}/min /min 1/min {beat}/min {beats}/min /min 1/min {pulse}/min {pulses}/min
60978-4,Heart rate Intra arterial line by Invasive,149522,MDC_BLD_PULS_RATE_INV,"Rate of blood pulse in an artery, measured invasively",T-1 T-1 T-1,/min 1/min {count}/min /min 1/min {beat}/min {beats}/min /min 1/min {pulse}/min {pulses}/min
60981-8,Aorta blood pressure,150028,MDC_PRESS_BLD_AORT,Pressure of the blood in the aorta,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60982-6,Aorta Diastolic blood pressure,150030,MDC_PRESS_BLD_AORT_DIA,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60983-4,Aorta Mean blood pressure,150031,MDC_PRESS_BLD_AORT_MEAN,Mean pressure of the blood in the aorta,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60984-2,Aorta Systolic blood pressure,150029,MDC_PRESS_BLD_AORT_SYS,Systolic pressure of the blood in the aorta,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60985-9,Central venous pressure (CVP),150084,MDC_PRESS_BLD_VEN_CENT,Pressure of the blood in the thoracic venae cavae,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60986-7,Central venous pressure (CVP) Diastolic,150086,MDC_PRESS_BLD_VEN_CENT_DIA,Diastolic pressure of the blood in the thoracic venae cavae,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60987-5,Central venous pressure (CVP) Systolic,150085,MDC_PRESS_BLD_VEN_CENT_SYS,Systolic pressure of the blood in the thoracic venae cavae,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60988-3,Left atrial pressure,150064,MDC_PRESS_BLD_ATR_LEFT,Pressure of the blood in the left atrium of the heart,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60989-1,Left atrial pressure Systolic,150065,MDC_PRESS_BLD_ATR_LEFT_SYS,Systolic pressure of the blood in the left atrium of the heart,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60996-6,Right atrial pressure,150068,MDC_PRESS_BLD_ATR_RIGHT,Pressure of the blood in the right atrium of the heart,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60997-4,Right atrial pressure Diastolic,150070,MDC_PRESS_BLD_ATR_RIGHT_DIA,Diastolic pressure of the blood in the right atrium of the heart,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60998-2,Right atrial pressure Systolic,150069,MDC_PRESS_BLD_ATR_RIGHT_SYS,Systolic pressure of the blood in the right atrium of the heart,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61002-2,Umbilical artery blood pressure,150056,MDC_PRESS_BLD_ART_UMB,Pressure of the blood in the umbilical arteries of a fetus,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61003-0,Umbilical vein Diastolic blood pressure,150090,MDC_PRESS_BLD_VEN_UMB_DIA,Diastolic pressure of the blood in the umbilical veins of a fetus,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61004-8,Umbilical vein Mean blood pressure,150091,MDC_PRESS_BLD_VEN_UMB_MEAN,Mean pressure of the blood in the umbilical veins of a fetus,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61005-5,Umbilical vein Systolic blood pressure,150089,MDC_PRESS_BLD_VEN_UMB_SYS,Systolic pressure of the blood in the umbilical veins of a fetus,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61006-3,Perfusion index Tissue by Pulse oximetry,150488,MDC_BLD_PERF_INDEX,Tissue perfusion computed as milliliters per minute of blood flow per gram of tissue,1,%
61007-1,Oxygen arterial - venous [Volume Fraction Difference] in Blood arterial + Blood venous by Estimated,152844,MDC_CONC_PO2_ART_VEN_DIFF,The (estimated) difference in the oxygen content of the blood between the arterial blood and the venous blood.,L3L-3 LMT-2L-2 LMT-2L-2,mL/dL kPa mm[Hg]
61008-9,Body surface temperature,150364,MDC_TEMP_BODY,,Q Q,Cel [degF]
61009-7,Myocardial temperature,188500,MDC_TEMP_MYO,Myocardial temperature,Q Q,Cel [degF]
61010-5,Burst suppression ratio [Ratio] Cerebral cortex Electroencephalogram (EEG),155024,MDC_EEG_PAROX_CRTX_BURST_SUPPRN,"Epileptic or potentially epileptogenic activity identifiers, burst suppression ",1,%
61011-3,Umbilical vein blood pressure,150088,MDC_PRESS_BLD_VEN_UMB,Pressure of the blood in the umbilical veins of a fetus,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61014-7,Left ventricular Cardiac output by Intermitent measure,150496,MDC_OUTPUT_CARD_NONCTS,"Quantity of blood pumped by the left ventricle into the aorta per minute, obtained as not continuous measurement",,L/min
61017-0,Cerebral perfusion pressure,153604,MDC_PRESS_CEREB_PERF,Pressure difference between mean arterial pressure and mean pressure inside skull,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
61018-8,Oxygen [VFr/PPres] Gas delivery system,153136,MDC_CONC_GASDLV_O2,Concentration of oxygen in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
61019-6,Enflurane [VFr/PPres] Airway adaptor --during expiration,152116,MDC_CONC_AWAY_ENFL_EXP,Partial pressure of enflurane in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
61020-4,Halothane [VFr/PPres] Airway adaptor --during expiration,152120,MDC_CONC_AWAY_HALOTH_EXP,Partial pressure of halothane in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
61021-2,Halothane [VFr/PPres] Airway adaptor --during inspiration,152176,MDC_CONC_AWAY_HALOTH_INSP,Partial pressure of halothane in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
61022-0,Desflurane gas delivered.total [Volume] in Reporting period from Gas delivery system,152908,MDC_VOL_DELIV_DESFL_TOTAL,Total volume of desflurane gas delivered (potentially across multiple cases),L3,mL
61023-8,Enflurane gas delivered.total [Volume] in Reporting period from Gas delivery system,152924,MDC_VOL_DELIV_ENFL_TOTAL,Total volume of enflurane gas delivered (potentially across multiple cases),L3,mL
61024-6,Halothane gas delivered.total [Volume] in Reporting period from Gas delivery system,152940,MDC_VOL_DELIV_HALOTH_TOTAL,Total volume of halothane gas delivered (potentially across multiple cases),L3,mL
61025-3,Isoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system,152956,MDC_VOL_DELIV_ISOFL_TOTAL,Total volume of isoflurane gas delivered (potentially across multiple cases),L3,mL
61026-1,Nitrous oxide gas delivered.total [Volume] in Reporting period from Gas delivery system,152964,MDC_VOL_DELIV_N2O_TOTAL,Total volume (gas) of nitrous oxide delivered,L3 ,mL L
61027-9,Sevoflurane gas delivered.total [Volume] in Reporting period from Gas delivery system,152988,MDC_VOL_DELIV_SEVOFL_TOTAL,Total volume of sevoflurane gas delivered (potentially across multiple cases),L3,mL
62264-7,Carbon dioxide [VFr/PPres] in Gas delivery system,153020,MDC_CONC_GASDLV_CO2,Concentration of carbon dioxide in airway gas in the system conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62265-4,Desflurane [VFr/PPres] Airway adaptor --during expiration,152112,MDC_CONC_AWAY_DESFL_EXP,Partial pressure of desflurane in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62266-2,Enflurane [VFr/PPres] Airway adaptor,152028,MDC_CONC_AWAY_ENFL,Measured partial pressure of enflurane in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62267-0,Halothane [VFr/PPres] Airway adaptor,152032,MDC_CONC_AWAY_HALOTH,Measured partial pressure of halothane in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62268-8,Isoflurane [VFr/PPres] Airway adaptor,152040,MDC_CONC_AWAY_ISOFL,Measured partial pressure of isoflurane in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62269-6,Isoflurane [VFr/PPres] Airway adaptor --during expiration,152128,MDC_CONC_AWAY_ISOFL_EXP,Partial pressure of isoflurane in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62270-4,Isoflurane [VFr/PPres] Airway adaptor --during inspiration,152184,MDC_CONC_AWAY_ISOFL_INSP,Partial pressure of isoflurane in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62271-2,Nitrous oxide [VFr/PPres] Airway adaptor,152048,MDC_CONC_AWAY_N2O,Measured partial pressure of nitrous oxide in airway gas,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62272-0,Nitrous oxide [VFr/PPres] Airway adaptor --during inspiration,152192,MDC_CONC_AWAY_N2O_INSP,Partial pressure of nitrous oxide in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
62274-6,Oxygen [VFr/PPres] Airway adaptor --during inspiration,152196,MDC_CONC_AWAY_O2_INSP,Partial pressure of oxygen in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
6298-4,Potassium [Moles/volume] in Blood,160016,MDC_CONC_K_GEN,,NL-3 NL-3,mmol/L meq/L
6301-6,INR in Platelet poor plasma by Coagulation assay,160260,MDC_RATIO_INR_COAG,The globally recommended normalized unit for measuring prothrombin time, ,{INR}
73696-7,Oxygen saturation.preductal-oxygen saturation.postductal [Mass fraction difference] in Bld.preductal and Bld.postductal,160304,MDC_PULS_OXIM_SAT_O2_ART_PRE_POST_DIFF,The difference between preductal and postductal oxygen saturation measurement (see Note 3).,1,%
75915-9,Air curtain status Infant microenvironment.incubator,184339,MDC_MICROENV_AIR_CURTAIN_STATE,"The air curtain on an incubator is a specially-designed airflow to reduce temperature fluctuation and maintain the temperature inside the incubator when its access doors are opened.  The air curtain state indicates whether the air curtain is on, off or has been disabled by the user.",,
75916-7,Bed type Infant microenvironment,184336,MDC_MICROENV_TYPE,"The type of bed used for an infant in the neonatal intensive care unit or newborn nursery. A radiant warmer is an open bed, an incubator is a closed bed, and an incubator that can serve as a radiant warmer is a combination bed.",,
75917-5,Bed state Infant microenvironment.incubator,184338,MDC_MICROENV_BED_STATE,"The bed state indicates whether the infant’s incubator is closed, partially open or open, i.e. the top of the incubator is raised.",,
75918-3,Bispectral index Cerebral cortex Electroencephalogram (EEG),153644,MDC_EEG_BISPECTRAL_INDEX,"The bispectral index (BIS) is a quantitative assessment of depth of anesthesia, specifically the level of consciousness.  It is an index that ranges from 0 to 100.  No measurable cortical activity would result in a BIS of 0 and a typical awake state is usually associated with an index of 90 to 100. Typical values for a patient undergoing general anesthesia are 40 to 60.",1,{unitless} 1
75919-1,Left ventricular Cardiac index,149772,MDC_OUTPUT_CARD_INDEX,Quantity of blood pumped by the left ventricle into the aorta per minute and divided by the body surface area (CO/BSA),,L/min/m2
75920-9,Transthoracic impedance,151780,MDC_IMPED_TTHOR,Transthoracic measurement of electrical impedance (influenced by respiration and other factors),ML2I-2T-3 ,mOhm Ohm
75921-7,Electrical potential Cerebral cortex Electroencephalogram (EEG),153900,MDC_EEG_ELEC_POTL_CRTX,"Electrical potential derived bipolarly between two electrodes, Position 1 and Position 2 at head surface. A list attribute is used. The electrode at Position 1 is Number 1 in the list. Position 2 can be a combined reference, e.g., linked ear. All connected electrode sites are listed beginning with Number 2 in the list. The attribute values must be taken from the Table A.9.4.3.",ML2I-1T-3 ML2I-1T-3,uV nV
75922-5,Fan speed Infant microenvironment.incubator,184341,MDC_MICROENV_FAN_SPEED,"The speed of the fan that controls the airflow in an infant incubator, such as low or high.",,
