_ENUM_GROUPS,TOKEN,REFID,NUM_VALUE,EPART,ECODE10,CF_ECODE10,ApplicationDescription,Tags
_MDC_ATTR_AL_COND," ","MDC_EVT_ADVIS_MAINT_NEEDED",,"3","6733","203341","A device has identified the need for maintenance (e.g., PM period has expired).","ds-ip-rel_2.0"
_MDC_PUMP_STAT," pump-status-not-infusing",,,,,,"The infusion pump mechanism is stopped.","ds-ip-rel_2.0"
_MDC_PUMP_MODE," pump-mode-patient-dose",," 10",,,,"The infusion pump is programmed to allow patient-initiated drug dosing (e.g., PCA). Replaced pump-mode-pca that has the same value.",""
_MDC_PUMP_MODE," pump-mode-priming",," 21",,,,"The pump is currently priming the fluid line.  Though it is moving fluid, it is not intended to be delivered to the patient, but rather to fill the line, purge air, etc.",""
_MDC_PUMP_MODE," pump-mode-other",," 22",,,,"The pump is programmed in an operational mode that does not match one of the defined modes.",""
," pump-stopped-nos",," 1",,,,"Not Otherwise Specified.",""
," pump-stopped-off",," 2",,,,"Pump is turned off.",""
," pump-stopped-ready-not-started",," 3",,,,"Pump has been powered on or selected and possibly programmed but not ""started"".",""
," pump-stopped-delayed-start",," 4",,,,"Pump has been programmed with either a future start time or a delay period after which the infusion will begin.",""
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-standby",," 5",,,,"Pump has been programmed and ""paused"" for an indeterminate period (possibly with configured max period limit).","ds-ip-rel_2.0"
," pump-stopped-clinician-paused",," 6",,,,"Pump has been stopped by the clinician for a short time after which an alert may signal.",""
," pump-stopped-alarm",," 7",,,,"Pump has been stopped as a result of an alarm condition.",""
," pump-stopped-delivery-complete",," 8",,,,"Status when an infusion is complete and not followed by a KVO.",""
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-between-doses",," 9",,,,"Pump has been programmed and started but is in patient-dose mode or multi-dosing mode and not currently delivering fluid.","ds-ip-rel_2.0"
," pump-stopped-transitioning",," 10",,,,"The pump is transitioning to a new infusing mode (e.g., piggyback to primary switchover).  Used when pump-stopped-delivery-complete is not appropriate.",""
," ENUM_VALUE_TOKEN","MDCX_ENUM_NO",,,,,"no","ds-ip-rel_2.0"
," pump-status-continue",,,,,,"",""
," pump-status-flushing",,,,,,"",""
," pump-status-transitioning",,,,,,"",""
," pump-status-delivering",,,,,,"",""
," pump-status-not-delivering",,,,,,"",""
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-priming",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_SOURCE_INFO," pump-source-info-primary",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_SOURCE_INFO," pump-source-info-secondary",,,,,,"","ds-ip-rel_2.0"
," pump-source-info-primary",,,,,,"",
_MDC_PUMP_SOURCE_INFO," pump-source-info-pca",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_SOURCE_INFO," pump-source-info-loading",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_SOURCE_INFO," pump-source-info-clinician",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_SOURCE_INFO," pump-source-info-intermittent",,,,,,"","ds-ip-rel_2.0"
," pump-status-stop",,,,,,"",""
," pump-status-not-started",,,,,,"",""
," pump-status-active",,,,,,"",""
," pump-status-complete",,,,,,"",""
_MDC_PUMP_DELIV_STAT," pump-delivery-status-delivering",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_DELIV_STAT," pump-delivery-status-not-delivering",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_DELIV_STAT," pump-delivery-status-kvo",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_DELIV_STAT," pump-delivery-status-flushing",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_DELIV_STAT," pump-delivery-status-transitioning",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-delayed",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-alarming",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-by-clinician",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-powered-off",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-not-specified",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_COMPLETION_MODE," pump-program-completion-mode-stop",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_COMPLETION_MODE," pump-program-completion-mode-kvo",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_COMPLETION_MODE," pump-program-completion-mode-continue",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_DELIVERY_MODE," pump-program-delivery-mode-continuous",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_DELIVERY_MODE," pump-program-delivery-mode-ramp-taper",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_DELIVERY_MODE," pump-program-delivery-mode-multi-step",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_DELIVERY_MODE," pump-program-delivery-mode-multi-dosing",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_STATUS," pump-program-status-not-started",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_STATUS," pump-program-status-active",,,,,,"","ds-ip-rel_2.0"
_MDC_PUMP_PROGRAM_STATUS," pump-program-status-complete",,,,,,"","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PATIENT_PARAMETER_CHANGE",,"3","748","197356","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_OCCL_PROXIMAL",,"3","750","197358","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_OCCL_DISTAL",,"3","752","197360","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_AIR_PROXIMAL",,"3","754","197362","","ds-ip-rel_2.0"
_MDC_ATTR_AL_COND _MDC_ATTR_AL_COND_DELIVERY," ","MDC_EVT_FLUID_LINE_AIR_DISTAL",,"3","756","197364","","ds-ip-rel_2.0"
_MDC_PUMP_NOT_DELIVERING_REASON," pump-stopped-switching-source",," 11",,,,"The pump is momentarily stopped while transitioning between infusate sources.",
," <0|1>^pulse-qual-nominal(0)",," 0",,,,,
," <0|1>^pulse-qual-marginal(1)",," 1",,,,,
," <0|1>^pulse-qual-minimal(2)",," 2",,,,,
," <0|1>^pulse-qual-unacceptable(3)",," 3",,,,,
," <0|1>^sensor-disconnected(0)",," 0",,,,,
," <0|1>^sensor-malfunction(1)",," 1",,,,,
," <0|1>^sensor-displaced(2)",," 2",,,,,
," <0|1>^sensor-unsupported(3)",," 3",,,,,
," <0|1>^sensor-off(4)",," 4",,,,,
," <0|1>^sensor-interference(5)",," 5",,,,,
," <0|1>^signal-searching(6)",," 6",,,,,
," <0|1>^signal-pulse-questionable(7)",," 7",,,,,
," <0|1>^signal-non-pulsatile(8)",," 8",,,,,
," <0|1>^signal-erratic(9)",," 9",,,,,
," <0|1>^signal-low-perfusion(10)",," 10",,,,,
," <0|1>^signal-poor(11)",," 11",,,,,
," <0|1>^signal-inadequate(12)",," 12",,,,,
," <0|1>^signal-processing-irregularity(13)",," 13",,,,,
," <0|1>^device-equipment-malfunction(14)",," 14",,,,,
," <0|1>^device-extended-update(15)",," 15",,,,,
_BODY_SITE_NBP_BP," ","MDC_LOEXT_THIGH_L",,"7","1613","460365","",
_BODY_SITE_NBP_BP," ","MDC_LOEXT_THIGH_R",,"7","1614","460366","",
_BODY_SITE_NBP_BP," ","MDC_UPEXT_FOREARM_L",,"7","1769","460521","",
_BODY_SITE_NBP_BP," ","MDC_UPEXT_FOREARM_R",,"7","1770","460522","",
," UNKNOWN",,,,,,,
," NOAGENT",,,,,,,
," DESFL",,,,,,,
," ENFL",,,,,,,
," HALOTH",,,,,,,
," ISOFL",,,,,,,
," SEVOFL",,,,,,,
," N2O",,,,,,,
," AIR",,,,,,,
_GAS_MSMT_SITE_INSP _GAS_MSMT_SITE_EXP _GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_NOS",,"7","2048","460800",,
_GAS_MSMT_SITE_INSP _GAS_MSMT_SITE,,"MDC_GAS_MSMT_SITE_FGF",,"7","2052","460804",,
_GAS_MSMT_SITE_INSP _GAS_MSMT_SITE,,"MDC_GAS_MSMT_SITE_IL",,"7","2054","460806",,
_GAS_MSMT_SITE_INSP _GAS_MSMT_SITE,,"MDC_GAS_CIRC_SITE_ABSi",,"7","2073","460825",,
_GAS_MSMT_SITE_EXP _GAS_MSMT_SITE,,"MDC_GAS_MSMT_SITE_EXH",,"7","2053","460805",,
_GAS_MSMT_SITE_EXP _GAS_MSMT_SITE,,"MDC_GAS_MSMT_SITE_EL",,"7","2055","460807",,
_GAS_MSMT_SITE_EXP,,"MDC_GAS_CIRC_SITE_ABSe",,"7","2072","460824",,
," ENDOTRACHEAL",,,,,,,
," TRACHEAL",,,,,,,
," INTERMITTENT",,,,,,,
," SCHEDULED",,,,,,,
," CONTINUOUS",,,,,,,
," OFF",,,,,,,
," NOT_PRESENT",,,,,,,
," NOT_CONNECTED",,,,,,,
," FAILURE",,,,,,,
," ON",,,,,,,
," AEROSOLIZER",,,,,,,
,"  PNEUMATIC",,,,,,,
_BODY_SITE_NBP_BP _BODY_SITE_PR _BODY_SITE_SPO2," ","MDC_BODY_SITE_NOS",,,,,"Not defined in -10101:2004, ECODE10 = 0 available, DISCUSS",
_BODY_SITE_SPO2," Forehead, NOS [T-Y0110] (e.g., for oximetric measurement)","MDC_HEAD_FORE",,"7","1528","460280",,
_BODY_SITE_SPO2," Forehead, NOS, Left [T-Y0110-LFT] (e.g., for oximetric measurement)","MDC_HEAD_FORE_L",,"7","1529","460281",,
_BODY_SITE_SPO2," Forehead, NOS, Right [T-Y0110-RGT] (e.g., for oximetric measurement)","MDC_HEAD_FORE_R",,"7","1530","460282",,
_BODY_SITE_SPO2," Head, Naris (nostril) [T-21310]","MDC_HEAD_NARIS",,"7","1544","460296",,
_BODY_SITE_SPO2," Head, Naris (nostril), Left [T-21310-LFT]","MDC_HEAD_NARIS_L",,"7","1545","460297",,
_BODY_SITE_SPO2," Head, Naris (nostril), Right [T-21310-RGT]","MDC_HEAD_NARIS_R",,"7","1546","460298",,
_BODY_SITE_SPO2," Head, Nose, NOS [T-21000]","MDC_HEAD_NOSE",,"7","1552","460304",,
_BODY_SITE_SPO2," Lower extremity, Foot [T-Y9700]","MDC_LOEXT_FOOT",,"7","1588","460340",,
_BODY_SITE_SPO2," Lower extremity, Foot, Left [Left foot, T-Y9720]","MDC_LOEXT_FOOT_L",,"7","1589","460341",,
_BODY_SITE_SPO2," Lower extremity, Foot, Right [Right foot, T-Y9710]","MDC_LOEXT_FOOT_R",,"7","1590","460342",,
_BODY_SITE_SPO2," Lower extremity, Toe [T-Y9800]","MDC_LOEXT_TOE",,"7","1616","460368",,
_BODY_SITE_SPO2," Lower extremity, Toe, Left [T-Y9800-LFT]","MDC_LOEXT_TOE_L",,"7","1617","460369",,
_BODY_SITE_SPO2," Lower extremity, Toe, Right [T-Y9800-RGT]","MDC_LOEXT_TOE_R",,"7","1618","460370",,
_BODY_SITE_SPO2," Lower extremity, Great toe [T-Y9810]","MDC_LOEXT_TOE_GREAT",,"7","1620","460372",,
_BODY_SITE_SPO2," Lower extremity, Great toe, Left [T-Y9810-LFT]","MDC_LOEXT_TOE_GREAT_L",,"7","1621","460373",,
_BODY_SITE_SPO2," Lower extremity, Great toe, Right [T-Y9810-RGT]","MDC_LOEXT_TOE_GREAT_R",,"7","1622","460374",,
_BODY_SITE_SPO2," Upper extremity, Finger, NOS, Left [T-Y8800-LFT] (e.g., for oximetric measurement)","MDC_UPEXT_FINGER_L",,"7","1749","460501",,
_BODY_SITE_SPO2," Upper extremity, Finger, NOS, Right [T-Y8800-RGT] (e.g., for oximetric measurement)","MDC_UPEXT_FINGER_R",,"7","1750","460502",,
_BODY_SITE_SPO2," Upper extremity, Hand, NOS [T-Y8700]","MDC_UPEXT_HAND",,"7","1772","460524",,
_BODY_SITE_SPO2," Upper extremity, Hand, NOS, Left [Left hand, T-Y8720]","MDC_UPEXT_HAND_L",,"7","1773","460525",,
_BODY_SITE_SPO2," Upper extremity, Hand, NOS, Right [Right hand, T-Y8710]","MDC_UPEXT_HAND_R",,"7","1774","460526",,
_BODY_SITE_SPO2," Upper extremity, Wrist, NOS [T-Y8600]","MDC_UPEXT_WRIST",,"7","1784","460536",,
_BODY_SITE_SPO2," Upper extremity, Wrist, NOS, Left [Left wrist, T-Y8620]","MDC_UPEXT_WRIST_L",,"7","1785","460537",,
_BODY_SITE_SPO2," Upper extremity, Wrist, NOS, Right [Right wrist, T-Y8610]","MDC_UPEXT_WRIST_R",,"7","1786","460538",,
_BODY_SITE_EEG," A1","MDC_HEAD_AURIC_L",,"7","1289","460041",,
_BODY_SITE_EEG," A2","MDC_HEAD_AURIC_R",,"7","1290","460042",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_AWAY",,"7","2049","460801",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_YPI",,"7","2050","460802",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_ETT",,"7","2051","460803",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_RB",,"7","2058","460810",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_LB",,"7","2057","460809",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_PI",,"7","2060","460812",,
_GAS_MSMT_SITE _GAS_MSMT_SITE_AWAY,,"MDC_GAS_MSMT_SITE_ETTC",,"7","2061","460813",,
," <0|1>^device-battery-low(0)",," 0",,,,,
," <0|1>^sensor-sample-size-insufficient(2)",," 2",,,,,
," <0|1>^sensor-strip-insertion(3)",," 3",,,,,
," <0|1>^sensor-strip-type-incorrect(4)",," 4",,,,,
," <0|1>^sensor-result-too-high(5)",," 5",,,,,
," <0|1>^sensor-result-too-low(6)",," 6",,,,,
," <0|1>^sensor-temp-too-high(7)",," 7",,,,,
," <0|1>^sensor-temp-too-low(8)",," 8",,,,,
," <0|1>^sensor-read-interrupt(9)",," 9",,,,,
," <0|1>^device-gen-fault(10)",," 10",,,,,
," <0|1>^inr-sensor-calibration-due(11)",," 11",,,,,
,,"MDC_CTXT_INR_TESTER_SELF",,"128","29317","8417925",,
,,"MDC_CTXT_INR_TESTER_HCP",,"128","29318","8417926",,
,,"MDC_CTXT_INR_TESTER_LAB",,"128","29319","8417927",,
,,"MDC_CTXT_GLU_HEALTH_MINOR",,"128","29216","8417824",,
,,"MDC_CTXT_GLU_HEALTH_MAJOR",,"128","29220","8417828",,
,,"MDC_CTXT_GLU_HEALTH_MENSES",,"128","29224","8417832",,
,,"MDC_CTXT_GLU_HEALTH_STRESS",,"128","29228","8417836",,
,,"MDC_CTXT_GLU_HEALTH_NONE",,"128","29232","8417840",,
,,"MDC_CTXT_GLU_TESTER_SELF",,"128","29280","8417888",,
,,"MDC_CTXT_GLU_TESTER_HCP",,"128","29284","8417892",,
,,"MDC_CTXT_GLU_TESTER_LAB",,"128","29288","8417896",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_FINGER",,"128","29240","8417848",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_AST",,"128","29244","8417852",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_EARLOBE",,"128","29248","8417856",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_CTRLSOLUTION",,"128","29252","8417860",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_UNDETERMINED",,"128","29237","8417845",,
,,"MDC_CTXT_GLU_SAMPLELOCATION_OTHER",,"128","29238","8417846",,
,,"MDC_CTXT_GLU_MEAL_PREPRANDIAL",,"128","29260","8417868",,
,,"MDC_CTXT_GLU_MEAL_POSTPRANDIAL",,"128","29264","8417872",,
,,"MDC_CTXT_GLU_MEAL_FASTING",,"128","29268","8417876",,
,,"MDC_CTXT_GLU_MEAL_CASUAL",,"128","29272","8417880",,
,,"MDC_CTXT_GLU_MEAL_BEDTIME",,"128","29261","8417869",,
_MDC_PUMP_SOURCE_INFO," pump-source-info-piggyback",,,,,,"",
